base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,base5,shoulder5,elbow5,base6,shoulder6,elbow6,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,e5x,e5y,e5z,e6x,e6y,e6z
-0.17590894,-0.0036311005,-1.6005291,-0.022662744,0.040710248,1.5989336,0.11504433,-0.08606493,-1.5117921,0.024080634,-0.04808698,1.4567428,0.09395193,-0.020105889,-1.587051,-0.17927685,0.06413815,1.5087147,0.2,0.0,0.0,0.25574565,0.5130102,0.17930952,-0.22578423,0.4931567,-0.25774565,-0.20380318,-0.014360802,0.5497302,-0.20664866,0.05091632,-0.5314512,-0.22572246,-0.47939113,0.285778,-0.22572367,-0.53810924,-0.2842433,-0.1961582
-0.16609685,-0.0036089306,-1.6128622,0.0040264404,0.04189753,1.5868886,0.09277302,-0.085738584,-1.5120971,0.012420545,-0.04890214,1.4612464,0.0975987,-0.01679902,-1.5706316,-0.17517424,0.06503176,1.5235809,0.2,0.0,0.0,0.25623587,0.50848335,0.18101934,-0.22626905,0.49966878,-0.25378844,-0.20402026,-0.0042003635,0.54947394,-0.20702861,0.046709213,-0.5303289,-0.22621866,-0.48397842,0.28647292,-0.22620504,-0.5323836,-0.28351635,-0.19603236
-0.15703769,-0.0032119066,-1.624607,0.03244852,0.043204393,1.5754733,0.07579037,-0.08576519,-1.5124418,4.0482435e-05,-0.049484294,1.4656434,0.10108798,-0.012917575,-1.5536094,-0.17083643,0.065682635,1.5355449,0.2,0.0,0.0,0.25675628,0.503973,0.18252312,-0.22678609,0.50624055,-0.24796946,-0.20430778,0.0038411766,0.54918355,-0.20713001,0.042246785,-0.52926654,-0.22674386,-0.4885471,0.28729102,-0.2267165,-0.5280388,-0.28319803,-0.19572502
-0.14900623,-0.0027147345,-1.6366172,0.059174288,0.04467435,1.5641295,0.06257846,-0.085923515,-1.5119709,-0.013314304,-0.049760316,1.4697598,0.10433963,-0.008665303,-1.5364184,-0.16642633,0.06617005,1.5460491,0.2,0.0,0.0,0.2572439,0.49966523,0.18355595,-0.22726957,0.5127473,-0.24146113,-0.20455319,0.010120001,0.54881006,-0.2069312,0.03747312,-0.5283638,-0.22723201,-0.492988,0.28819618,-0.22720428,-0.52446586,-0.28313118,-0.19534604
-0.14221916,-0.0020944015,-1.6484038,0.08210534,0.045294065,1.5523682,0.052195136,-0.086224705,-1.5099229,-0.027333917,-0.04990888,1.4732931,0.10712265,-0.0049667843,-1.5199773,-0.1617206,0.06652595,1.5555061,0.2,0.0,0.0,0.25761127,0.49535978,0.18423502,-0.2276364,0.5190629,-0.23516285,-0.20470358,0.014961505,0.54864484,-0.20648079,0.032575,-0.5276615,-0.22760434,-0.49732247,0.28897646,-0.22756423,-0.52113235,-0.28335065,-0.19486693
-0.13621627,-0.0014430097,-1.6599071,0.10011799,0.04495844,1.5412588,0.04428214,-0.08646789,-1.5067796,-0.041265868,-0.050177753,1.4759008,0.10996363,-0.0019651444,-1.5046856,-0.15735057,0.066530265,1.5641353,0.2,0.0,0.0,0.25787073,0.49118727,0.18461761,-0.22789559,0.5248851,-0.22966084,-0.20495495,0.018624034,0.54895544,-0.20597227,0.027734961,-0.5271884,-0.22787265,-0.5015466,0.28961334,-0.22782622,-0.5178541,-0.28397298,-0.19448195
-0.13077302,-0.0011492514,-1.6717044,0.112622395,0.044518948,1.5320522,0.037174318,-0.08669982,-1.5030731,-0.05580998,-0.050500702,1.4777379,0.11276196,0.0009834501,-1.4900465,-0.15318334,0.06640826,1.5722461,0.2,0.0,0.0,0.25805667,0.4872539,0.18472564,-0.22809152,0.52971196,-0.22540464,-0.20535272,0.021527844,0.54964936,-0.20560616,0.022947632,-0.5268638,-0.22805203,-0.50553685,0.29025978,-0.22801688,-0.51474106,-0.2844117,-0.1942476
-0.12559652,-0.0003805463,-1.6828164,0.12055898,0.04323805,1.5235391,0.030258002,-0.086840406,-1.4993806,-0.06934302,-0.05086984,1.4791877,0.11562858,0.0032279633,-1.476653,-0.14917408,0.06622764,1.5798626,0.2,0.0,0.0,0.2581858,0.48336908,0.18477306,-0.2282209,0.5334341,-0.22245765,-0.20582297,0.024056379,0.55055326,-0.20531501,0.018083792,-0.5266729,-0.22817288,-0.50939214,0.29075566,-0.22814356,-0.5117005,-0.28487447,-0.19394378
-0.12058696,0.0004583185,-1.6931418,0.1251748,0.041938838,1.5158433,0.02367747,-0.08705697,-1.496094,-0.08297697,-0.051366087,1.4801196,0.11860894,0.004980814,-1.4638869,-0.14527541,0.0657925,1.5871251,0.2,0.0,0.0,0.2582586,0.4796943,0.18479963,-0.22828668,0.536391,-0.22072136,-0.20634069,0.026625004,0.5514643,-0.20507933,0.013716404,-0.52644986,-0.22825626,-0.5129913,0.29117236,-0.22821689,-0.5086841,-0.28528982,-0.19380586
-0.11544947,0.001542204,-1.703001,0.1282859,0.040632587,1.5086582,0.017313033,-0.0872357,-1.4929385,-0.095968574,-0.05174041,1.480893,0.12144795,0.006327118,-1.452063,-0.14169276,0.065273024,1.5936674,0.2,0.0,0.0,0.2582833,0.47630537,0.18481852,-0.22832227,0.538842,-0.21997716,-0.20672746,0.029140104,0.55225456,-0.204944,0.009383114,-0.526305,-0.22826879,-0.51651466,0.29149845,-0.22824273,-0.50566363,-0.28568056,-0.19376576
